ID,Nazev_zarizeni,More_info,Adresa,Sporty,image
1,Fotbalová hřiště ZŠ Ostrava-Hošťálkovice,https://iscus.cz/kraje/msk/pasport/19855,"Výhledy 210, 725 28 Ostrava-Hošťálkovice",fotbal,/img/fotbal.jpg
2,Hlavní hřiště s přírodním travnatým povrchem,https://iscus.cz/kraje/msk/pasport/15719,"Petřkovická 721/1, 72529 Ostrava-Petřkovice",fotbal,/img/fotbal.jpg
3,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15673,"Muglinovská 2734/18, 702 00 Moravská Ostrava",fotbal,/img/fotbal.jpg
4,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15768,"Polní Osada , 71800 Ostrava-Kunčičky",fotbal,/img/fotbal.jpg
5,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15694,"ul. Antošovicka 51/491, 71100 Ostrava 2",fotbal,/img/fotbal.jpg
6,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15686,"TJ Unie Hlubina, Gajdošova ul. , 70200 Mor.Ostrava-Přívoz",fotbal,/img/fotbal.jpg
7,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15716,"Žákovská 43 , 70900 Ostrava",fotbal,/img/fotbal.jpg
8,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15693,"Sklopčická 557, 72526 Ostrava",fotbal,/img/fotbal.jpg
9,Hřiště a stadiony pro fotbal,https://iscus.cz/kraje/msk/pasport/15767,"Polní Osada , 71800 Ostrava-Kunčičky",fotbal,/img/fotbal.jpg
10,Hřiště SŠTD Ostrava-Vítkovice,https://iscus.cz/kraje/msk/pasport/17972,"Moravská 964/2, 703 00 Ostrava","atletika, fotbal",/img/atletika.jpg
11,"Hřiště ZŠ A.Kučery, Ostrava-Hrabůvka",https://iscus.cz/kraje/msk/pasport/19316,"Alberta Kučery 1276/20, 700 30 Ostrava-Hrabůvka",fotbal,/img/fotbal.jpg
12,"Hřiště ZŠ Dvorského, Ostrava-Bělský les",https://iscus.cz/kraje/msk/pasport/19274,"B. Dvorského 1049/1, 700 30 Ostrava-Bělský les",fotbal,/img/fotbal.jpg
13,Hřiště ZŠ Gen. Píky Ostrava,https://iscus.cz/kraje/msk/pasport/19403,"Gen.Píky 2975/13A, 702 00 Moravská Ostrava","atletika, basketbal, fotbal, tenis, volejbal",/img/volejbal.jpg
14,"Hřiště ZŠ Horymírova, Ostrava-Zábřeh",https://iscus.cz/kraje/msk/pasport/19333,"Horymírova 2978/100, 700 30 Ostrava-Zábřeh","atletika, basketbal, fotbal, házená, nohejbal, tenis, volejbal",/img/atletika.jpg
15,"Hřiště ZŠ Klegova 27, Ostrava-Hrabůvka",https://iscus.cz/kraje/msk/pasport/19213,"Klegova 1398/27, 700 30 Ostrava-Hrabůvka",fotbal,/img/fotbal.jpg
16,"Hřiště ZŠ Kosmonautů 15, Ostrava-Zábřeh",https://iscus.cz/kraje/msk/pasport/19164,"Kosmonautů 2217/15, 700 30 Ostrava-Zábřeh",fotbal,/img/fotbal.jpg
17,Hřiště ZŠ Kpt. Vajdy Ostrava,https://iscus.cz/kraje/msk/pasport/18391,"Kpt. Vajdy 2656/1a, 700 30 Ostrava",fotbal,/img/fotbal.jpg
18,"Hřiště ZŠ Mitušova 16, Ostrava-Hrabůvka",https://iscus.cz/kraje/msk/pasport/19168,"Mitušova 1506/16, 700 30 Ostrava-Hrabůvka","atletika, basketbal, fotbal, házená, volejbal",/img/volejbal.jpg
19,Hřiště ZŠ Ostrčilova Ostrava,https://iscus.cz/kraje/msk/pasport/19394,"Ostrčilova 2557/10, 702 00 Ostrava","atletika, basketbal, fotbal, házená, volejbal",/img/volejbal.jpg
20,"Hřiště ZŠ Porubská 832, Ostrava-Poruba",https://iscus.cz/kraje/msk/pasport/19519,"Porubská 832/12, 708 00 Ostrava-Poruba","atletika, basketbal, fotbal, házená, nohejbal, volejbal",/img/volejbal.jpg
21,"Hřiště ZŠ Sekaniny, Ostrava-Poruba",https://iscus.cz/kraje/msk/pasport/19502,"Ivana Sekaniny 1804/15, 708 00 Ostrava-Poruba","atletika, basketbal, fotbal, volejbal",/img/volejbal.jpg
22,"Hřiště ZŠ Srbská 2, Ostrava-Výškovice",https://iscus.cz/kraje/msk/pasport/19146,"Srbská 450/2, 700 30 Ostrava-Výškovice","basketbal, fotbal, volejbal",/img/volejbal.jpg
23,"Hřiště ZŠ Šoupala, Ostrava-Poruba",https://iscus.cz/kraje/msk/pasport/19543,"Jana Šoupala 1609/6, 708 00 Ostrava-Poruba","basketbal, fotbal",/img/fotbal.jpg
24,"Hřiště ZŠ Ukrajinská 13, Ostrava-Poruba",https://iscus.cz/kraje/msk/pasport/19509,"Ukrajinská 1533/13, 708 00 Ostrava-Poruba","atletika, basketbal, fotbal, házená, nohejbal, tenis, volejbal",/img/volejbal.jpg
25,Hřiště ZŠ Volgogradská 6B Ostrava-Zábřeh,https://iscus.cz/kraje/msk/pasport/19141,"Volgogradská 2600/6B, 700 30 Ostrava-Zábřeh","basketbal, fotbal, tenis",/img/fotbal.jpg
26,"Hřiště ZŠ Zelená, Moravská Ostrava",https://iscus.cz/kraje/msk/pasport/19396,"Zelená 1406/42, 702 00 Moravská Ostrava","atletika, basketbal, fotbal, nohejbal, stolní tenis, volejbal",/img/volejbal.jpg
27,Sportoviště a rekreační plocha,https://iscus.cz/kraje/msk/pasport/16784,"Kosmonautů 15, 70030 Ostrava",fotbal,/img/fotbal.jpg
28,Sportovní areál Gymnázium Ostrava - Hladnov,https://iscus.cz/kraje/msk/pasport/18153,"Hladnovská 1332/35, 710 00 Ostrava","atletika, basketbal, fotbal, házená, tenis, volejbal",/img/fotbal.jpg
29,Sportovní areál SŠ stravování Ostrava,https://iscus.cz/kraje/msk/pasport/18092,"Krakovská 1095/33, 700 30 Ostrava","atletika, basketbal, fotbal, házená, tenis, volejbal",/img/atletika.jpg
30,Sportovní areál Wichterlova gymnázia Ostrava,https://iscus.cz/kraje/msk/pasport/18240,"Čs.exilu 669/16, 703 00 Ostrava","atletika, fotbal, nohejbal, tenis, volejbal",/img/atletika.jpg
31,Víceúčelová hřiště ZŠ Ostrava-Hrabová,https://iscus.cz/kraje/msk/pasport/19913,"Paskovská 110/46, 720 00 Ostrava-Hrabová","atletika, basketbal, florbal, fotbal, nohejbal, volejbal",/img/atletika.jpg
32,Víceúčelové hřiště Gymnázia Hrabůvka,https://iscus.cz/kraje/msk/pasport/17976,"Františka Hajdy 1429/34, 700 30 Ostrava","atletika, basketbal, fotbal, volejbal",/img/atletika.jpg
33,Víceúčelové hřiště SPŠ stavební Ostrava,https://iscus.cz/kraje/msk/pasport/17980,"Středoškolská 2992/3, 700 30 Ostrava","fotbal, tělesně postižení - ČSTPS, volejbal",/img/volejbal.jpg
34,"Víceúčelové hřiště ZŠ Provaznická, Ostrava-Hrabůvka",https://iscus.cz/kraje/msk/pasport/19172,"Provaznická 831/64, 700 30 Ostrava-Hrabůvka","atletika, fotbal",/img/fotbal.jpg
35,Víceúčelový sportovní areál SG Ostrava,https://iscus.cz/kraje/msk/pasport/17794,"Volgogradská 2631/6, 700 30 Ostrava","atletika, basketbal, fotbal, házená, horolezectví, tenis, volejbal",/img/lezectvi.jpg
